flag	read_sites	enclosing_functions	what_it_gates	L_group	t2_levers_entry	roster_verdict	go_stack.sh	run_ours_task.sh	arms/viewmax2.env	set_in_live_chain
T2_CONS_NOOP	t2_gate_patch.py:9479	apply_unified_regen	if os.environ.get("T2_CONS_NOOP", "1") != "0" \			DARK				no
T2_COV	t2_gate_patch.py:9119	apply_unified_regen	if (os.environ.get("T2_COV") == "1" and ep_led is not None			DARK				no
T2_COVERAGE_FOLLOWUP	t2_gate_patch.py:14745	apply_unified_regen	if (os.environ.get("T2_COVERAGE_FOLLOWUP") == "1" and _resign	L4	CELLS	UNMEASURED	1			yes
T2_COV_MIDDRIVE	t2_gate_patch.py:9149	apply_unified_regen	if (os.environ.get("T2_COV_MIDDRIVE") == "1" and ep_led is not None):		CELLS	DARK	1			yes
T2_COV_MIDDRIVE_K	t2_gate_patch.py:9164	apply_unified_regen	_K = int(os.environ.get("T2_COV_MIDDRIVE_K", "4"))		PARAMS		4			yes
T2_CP2_APPEND_MAX	t2_gate_patch.py:6556;t2_gate_patch.py:6562	_cp2_assign	_cap = int(os.environ.get("T2_CP2_APPEND_MAX", "90000"))				90000			yes
T2_CP2_KEEP_SURE	t2_gate_patch.py:6594	_cp2_assign	_keep_sure = os.environ.get("T2_CP2_KEEP_SURE") == "1"				0			yes
T2_CP2_QUEUE	t2_gate_patch.py:6563	_cp2_assign	_queue = os.environ.get("T2_CP2_QUEUE") == "1"				0			yes
T2_DD_CAP	t2_gate_patch.py:9436	apply_unified_regen	and getattr(self, "_t2_dd_deny", 0) < int(os.environ.get("T2_DD_CAP", "8"))):							no
T2_DECIDE_ANY	t2_gate_patch.py:11527	apply_unified_regen	if os.environ.get("T2_DECIDE_ANY") == "1":	L7		UNMEASURED				no
T2_DECIDE_BEFORE_WRITE	t2_gate_patch.py:12545	apply_unified_regen	if (os.environ.get("T2_DECIDE_BEFORE_WRITE") == "1" and not do_gate	L9		UNMEASURED				no
T2_DECISION_CARRY	t2_gate_patch.py:11450;t2_gate_patch.py:11621	apply_unified_regen	and os.environ.get("T2_DECISION_CARRY") == "1"	L9		UNMEASURED				no
T2_DECISION_ISOLATE	t2_gate_patch.py:5973	_limit_reduce_text	if _decided and _name_lists and os.environ.get("T2_DECISION_ISOLATE") == "1":			NEAR_VALID(0 VALID)				no
T2_DECLFIRST	t2_declfirst.py:164;t2_declfirst.py:274;t2_gate_patch.py:7232;t2_gate_patch.py:8877;t2_gate_patch.py:13478	<module>;apply_provenance_regen;apply_unified_regen;run	if os.environ.get("T2_DECLFIRST") != "1":	L9		NOT_A_LEVER				no
T2_DECLFIRST_ENFORCE	t2_declfirst.py:192	run	enforce = os.environ.get("T2_DECLFIRST_ENFORCE") == "1"			NOT_A_LEVER				no
T2_DECLFIRST_GUIDE	t2_gate_patch.py:7231;t2_gate_patch.py:8867	apply_provenance_regen;apply_unified_regen	_guide_on = os.environ.get("T2_DECLFIRST_GUIDE", "1") == "1"	L9		UNMEASURED				no
T2_DECLFIRST_GUIDE_FIX	t2_gate_patch.py:8876	apply_unified_regen	if os.environ.get("T2_DECLFIRST_GUIDE_FIX") == "1" else None)			NOT_A_LEVER				no
T2_DEFERRED_VIEW_KEEP	t2_gate_patch.py:9078	apply_unified_regen	_q0.append([_txt0, int(os.environ.get("T2_DEFERRED_VIEW_KEEP", "2"))])							no
T2_DELIVER_PRECOMMIT	t2_gate_patch.py:8942	apply_unified_regen	if (os.environ.get("T2_DELIVER_PRECOMMIT") == "1"	L9		NEAR_VALID(0 VALID)				no
T2_DENY_HOWTO	t2_gate_patch.py:13167	apply_unified_regen	if os.environ.get("T2_DENY_HOWTO") == "1":				0			yes
T2_DENY_HOWTO_CAP	t2_gate_patch.py:4661	_decl_howto	cap = int(cap if cap is not None else os.environ.get("T2_DENY_HOWTO_CAP", "900"))				900			yes
T2_DENY_HOWTO_PARAMS	t2_gate_patch.py:4711	_decl_howto	if params and os.environ.get("T2_DENY_HOWTO_PARAMS") == "1":				0			yes
T2_DIAG_UNAMBIGUOUS	t2_ledger.py:1130	diagnose_choice	if os.environ.get("T2_DIAG_UNAMBIGUOUS") == "1":				0			yes
T2_DISAMB	t2_run_gated.py:224	main	disamb_on = os.environ.get("T2_DISAMB", "0") == "1"			HARMFUL				no
T2_DISAMB_MODE	t2_run_gated.py:227	main	disamb_mode = os.environ.get("T2_DISAMB_MODE", "dialog") # P-B: dialog|subcall			NOT_A_LEVER				no
T2_DISAMB_ORDER	t2_gate_patch.py:7153;t2_gate_patch.py:8598	apply_provenance_regen;apply_unified_regen	if os.environ.get("T2_DISAMB_ORDER") == "1": # ★order operand도 disamb 대상(filter-then-ask·env opt-in)	L10		UNMEASURED				no
T2_DISCOVERY_DISPATCH	t2_gate_patch.py:9433	apply_unified_regen	if (os.environ.get("T2_DISCOVERY_DISPATCH") == "1" and ep_spec is not None	L2		UNMEASURED				no
T2_DISCOVERY_NAMES	t2_gate_patch.py:11492	apply_unified_regen	if os.environ.get("T2_DISCOVERY_NAMES") == "1":	L2	CELLS	UNMEASURED	1			yes
T2_DISCOVERY_REQUIRED	t2_gate_patch.py:15522	apply_unified_regen	if (os.environ.get("T2_DISCOVERY_REQUIRED") == "1" and (a2 or {}).get("analysis_producers")	L2	NOT_LAUNCHED	NEAR_VALID(0 VALID)				no
T2_DISCOVERY_STEP2	t2_resolve.py:525	resolve_action_operator	if os.environ.get("T2_DISCOVERY_STEP2") == "1":	L2		UNMEASURED				no
T2_DISPATCH_LEDGER	t2_eplan_patch.py:1095;t2_eplan_patch.py:1123;t2_scaffold_get.py:3126	apply	and os.environ.get("T2_DISPATCH_LEDGER") != "1"): # P8도 이 훅을 쓴다	L4	CELLS	UNMEASURED	1			yes
T2_DISPATCH_ROLE	t2_gate_patch.py:11773	apply_unified_regen	if (pr_fb is None and os.environ.get("T2_DISPATCH_ROLE") == "1" and _drs	L7	CELLS	UNMEASURED	1			yes
T2_DISPATCH_ROLE_CAP	t2_gate_patch.py:11777	apply_unified_regen	< int(os.environ.get("T2_DISPATCH_ROLE_CAP", "6"))):							no
T2_DISPATCH_ROLE_ENVSET	t2_gate_patch.py:11814;t2_gate_patch.py:11835	apply_unified_regen	and os.environ.get("T2_DISPATCH_ROLE_ENVSET") == "1"	L7	CELLS	UNMEASURED	1			yes
T2_DISTINCT_ARGS	t2_gate_patch.py:13620	apply_unified_regen	if os.environ.get("T2_DISTINCT_ARGS") in ("log", "deny") and getattr(am, "tool_calls", None):						log	yes
T2_DOCS_AT_WRITE	t2_gate_patch.py:4860;t2_gate_patch.py:11467;t2_gate_patch.py:12571	_search_material;apply_unified_regen	or os.environ.get("T2_DOCS_AT_WRITE") == "1"):	L5		UNMEASURED(L5 미판정)				no
T2_DUP_REPRESENT	t2_scaffold_get.py:2719	apply	represent_on=(os.environ.get("T2_DUP_REPRESENT") == "1"),	L11	CELLS	UNMEASURED	1			yes
T2_DUP_WRITE	t2_gate_patch.py:12507	apply_unified_regen	if os.environ.get("T2_DUP_WRITE") == "1":				1	1		yes
T2_DYN_MT	t2_gate_patch.py:8747	apply_unified_regen	if os.environ.get("T2_DYN_MT") == "1":		HARNESS		1			yes
T2_DYN_MT_MARGIN	t2_gate_patch.py:8749	apply_unified_regen	margin=int(os.environ.get("T2_DYN_MT_MARGIN", "64")),		HARNESS		64			yes
T2_ELIG_LINE	t2_gate_patch.py:4898	_search_material	if os.environ.get("T2_ELIG_LINE") == "1":	L5		UNMEASURED(L5 미판정)				no
T2_ENVELOPE_CAP	t2_gate_patch.py:14599	apply_unified_regen	< int(os.environ.get("T2_ENVELOPE_CAP", "2") or 2)):		PARAMS		2			yes
T2_ENVELOPE_GUARD	t2_gate_patch.py:14595;t2_gate_patch.py:14634	apply_unified_regen	if (os.environ.get("T2_ENVELOPE_GUARD") == "1"		CELLS		1			yes
T2_ENVELOPE_TAG	t2_gate_patch.py:14577	apply_unified_regen	_envtag = os.environ.get("T2_ENVELOPE_TAG", "<tool_call>")							no
T2_ENVELOPE_TRUNC	t2_gate_patch.py:14582	apply_unified_regen	_lim = int(os.environ.get("T2_ENVELOPE_TRUNC", "1200") or 1200)							no
T2_EPLAN	t2_eplan_patch.py:1090;t2_gate_patch.py:8971;t2_run_gated.py:277	apply;apply_unified_regen;main	if os.environ.get("T2_EPLAN") != "1":	L5	CELLS	UNMEASURED(L5 미판정)	1			yes
T2_EPLAN_DENY_CAP	t2_gate_patch.py:9330	apply_unified_regen	_ep_cap = int(os.environ.get("T2_EPLAN_DENY_CAP", "4"))							no
T2_EPLAN_DRIVE_K	t2_eplan_patch.py:1182	apply	_K = int(os.environ.get("T2_EPLAN_DRIVE_K", "4"))		PARAMS		4			yes
T2_EPLAN_ENUM_SUBTRACT	t2_eplan_patch.py:947	l1_feedback	if os.environ.get("T2_EPLAN_ENUM_SUBTRACT") == "1" and _called:				0			yes
T2_EPLAN_EXAMINED_SAFE	t2_eplan_patch.py:1010	discovery_precondition	if os.environ.get("T2_EPLAN_EXAMINED_SAFE") == "1" and attempt_entity is not None \	L5		UNMEASURED(L5 미판정)				no
T2_EPLAN_READS_ONLY	t2_eplan_patch.py:974	l2_feedback	if os.environ.get("T2_EPLAN_READS_ONLY") == "1":	L5		UNMEASURED(L5 미판정)				no
T2_EPLAN_REPLAN	t2_eplan_patch.py:1212	apply	if reminder is None and os.environ.get("T2_EPLAN_REPLAN") == "1":	L5		UNMEASURED(L5 미판정)				no
T2_EPLAN_WALK	t2_eplan_patch.py:1093;t2_eplan_patch.py:1094;t2_eplan_patch.py:1175;t2_run_gated.py:281	apply;main	% ("ON" if os.environ.get("T2_EPLAN_WALK") == "1" else "off"))	L5	CELLS	UNMEASURED(L5 미판정)	1			yes
T2_EPLAN_WALK_HOLD	t2_eplan_patch.py:1253	apply	if os.environ.get("T2_EPLAN_WALK_HOLD") != "1":		ARM_ONLY					no
T2_FAB_STRIP	t2_gate_patch.py:13635	apply_unified_regen	if os.environ.get("T2_FAB_STRIP") == "1" and getattr(am, "tool_calls", None):	L2	CELLS	UNMEASURED	1			yes
T2_FAILDUMP	t2_run_gated.py:366;t2_run_gated.py:456	main	("T2_GEN_TRACE", "T2_NO_FORCE_TOOLCHOICE", "T2_PROBE_TERSE", "T2_TC_SALVAGE", "T2_STOP_FIRST_TOOLCALL", "T2_P2_REGEN", "T2_TOOL_OBS")) or os.environ.get("T2_FAILDUMP"):					$LOG/faildump_${TAG}.jsonl		yes
T2_FAILED_DIR	t2_run_gated.py:49	_install_failed_persist	_dir = os.environ.get("T2_FAILED_DIR", "failed_sims")							no
T2_FAILED_PERSIST	t2_run_gated.py:307	main	if os.environ.get("T2_FAILED_PERSIST") == "1":		HARNESS		1			yes
T2_FB_SIDECAR	t2_fbsidecar.py:58;t2_fbsidecar.py:147;t2_fbsidecar.py:154;t2_fbsidecar.py:220;t2_fbsidecar.py:225	<module>;record	path = os.environ.get("T2_FB_SIDECAR")					$LOG/fb_${TAG}.jsonl		yes
T2_FB_SIDECAR_TEXT	t2_fbsidecar.py:87;t2_fbsidecar.py:168;t2_fbsidecar.py:224	<module>;record	if os.environ.get("T2_FB_SIDECAR_TEXT") == "1":					1		yes
T2_FB_SIDECAR_TEXT_MAX	t2_fbsidecar.py:92	record	_cap = int(os.environ.get("T2_FB_SIDECAR_TEXT_MAX", "4000"))				4000			yes
T2_FB_VIEW_K	t2_prekb_patch.py:384	_view_fb	lst.append([txt, int(os.environ.get("T2_FB_VIEW_K", "2"))])							no
T2_FEXEC	t2_gate_patch.py:7093	_t5c_disamb_subcall	if os.environ.get("T2_FEXEC") == "1":			DARK				no
T2_FIT_DIFF	t2_gate_patch.py:1550	_axis_surface	if os.environ.get("T2_FIT_DIFF") == "1" and notes_cfg.get("diff"):			DARK				no
T2_FN_ISOLATE	t2_scaffold_get.py:2509	apply	if os.environ.get("T2_FN_ISOLATE") == "1":							no
T2_FOLLOWUP_FORCE	t2_gate_patch.py:14759;t2_gate_patch.py:15001;t2_gate_patch.py:15115	apply_unified_regen	if os.environ.get("T2_FOLLOWUP_FORCE") == "1" else None))	L6	CELLS	UNMEASURED(L6 미판정)	1			yes
T2_FOLLOWUP_PROGRESS_REFUND	t2_gate_patch.py:14540	apply_unified_regen	if os.environ.get("T2_FOLLOWUP_PROGRESS_REFUND") == "1":		PARAMS		1			yes
T2_FOLLOWUP_READLOOP	t2_gate_patch.py:14008	apply_unified_regen	if (os.environ.get("T2_FOLLOWUP_READLOOP") == "1" and not _resign	L6	CELLS	UNMEASURED(L6 미판정)	1			yes
T2_FOLLOWUP_REQUIRED	t2_gate_patch.py:14976	apply_unified_regen	if (os.environ.get("T2_FOLLOWUP_REQUIRED") == "1" and _resign):	L6	CELLS	UNMEASURED(L6 미판정)	1			yes
T2_FOLLOWUP_RESIGN_TH	t2_gate_patch.py:14989;t2_gate_patch.py:15063	apply_unified_regen	_th = int(os.environ.get("T2_FOLLOWUP_RESIGN_TH", "2") or 2)							no
T2_FORCE_ACTION	t2_gate_patch.py:11680	apply_unified_regen	if os.environ.get("T2_FORCE_ACTION") == "1" and not (am.tool_calls or []):	L7	CELLS	UNMEASURED	1			yes
T2_FORCE_MIN_TOKENS	t2_gate_patch.py:98	<module>	_FORCE_MIN_TOKENS = int(os.environ.get("T2_FORCE_MIN_TOKENS", "1024"))							no
T2_FREE_TEXT_ARG	t2_gate_patch.py:13543	apply_unified_regen	if (os.environ.get("T2_FREE_TEXT_ARG") == "1" and getattr(am, "tool_calls", None)				1			yes
T2_GATE_KINDS	t2_gate_patch.py:1222;t2_gate_patch.py:8331;t2_gate_patch.py:8610	apply;apply_gate_regen;apply_unified_regen	_kinds = os.environ.get("T2_GATE_KINDS")							no
T2_GATE_REGEN	t2_run_gated.py:229;t2_run_gated.py:231	main	_unified = os.environ.get("T2_GATE_REGEN") == "1" and (		HARNESS		1			yes
T2_GATE_REGEN_K	t2_run_gated.py:233;t2_run_gated.py:234	main	t2_gate_patch.apply_gate_regen(max_regen=int(os.environ.get("T2_GATE_REGEN_K", "1")))		HARNESS		1			yes
T2_GEN_TRACE	t2_run_gated.py:366	main	("T2_GEN_TRACE", "T2_NO_FORCE_TOOLCHOICE", "T2_PROBE_TERSE", "T2_TC_SALVAGE", "T2_STOP_FIRST_TOOLCALL", "T2_P2_REGEN", "T2_TOOL_OBS")) or os.environ.get("T2_FAILDUMP"):					1		yes
T2_GIVE_EXEC_NUDGE	t2_gate_patch.py:14790	apply_unified_regen	if (os.environ.get("T2_GIVE_EXEC_NUDGE") == "1" and _resign	L7	CELLS	UNMEASURED	1			yes
T2_GIVE_QUOTE	t2_gate_patch.py:15805	apply_unified_regen	if (os.environ.get("T2_GIVE_QUOTE") == "1" and getattr(am, "tool_calls", None)	L3	CELLS	UNMEASURED	1			yes
T2_GIVE_RELEVANCE_NUDGE	t2_gate_patch.py:14641	apply_unified_regen	if (os.environ.get("T2_GIVE_RELEVANCE_NUDGE") == "1"	L7	CELLS	UNMEASURED	1			yes
T2_GIVE_REQUIRED	t2_gate_patch.py:10238	apply_unified_regen	and os.environ.get("T2_GIVE_REQUIRED") == "1"				0			yes
T2_GIVE_REQUIRED_CAP	t2_gate_patch.py:10240;t2_gate_patch.py:10269	apply_unified_regen	< int(os.environ.get("T2_GIVE_REQUIRED_CAP", "2"))):				2			yes
T2_GROUND	t2_run_gated.py:226	main	ground2_on = os.environ.get("T2_GROUND", "0") == "1" # P-A (양 분기)		CELLS	HARMFUL	1			yes
T2_GROUNDING_SPEC	t2_resolve_patch.py:355	apply	spec_path = spec_path or os.environ.get("T2_GROUNDING_SPEC")							no
T2_GROUND_DROP_NAVKEYS	t2_resolve_patch.py:312	_resolve	if catalog and os.environ.get("T2_GROUND_DROP_NAVKEYS") == "1":			DARK				no
T2_GROUND_HDR	t2_scaffold_get.py:3307	apply	_hdr_tail = ("" if os.environ.get("T2_GROUND_HDR") == "1"	L1		UNMEASURED	1			yes
T2_GROUND_LOG	t2_resolve_patch.py:275	_log_event	path = os.environ.get("T2_GROUND_LOG")							no
T2_GROUP_DUP	t2_gate_patch.py:13593	apply_unified_regen	if os.environ.get("T2_GROUP_DUP") in ("log", "deny") and getattr(am, "tool_calls", None):						log	yes
T2_GUIDED	t2_guided_patch.py:209;t2_run_gated.py:214	_make_wrapper;main	if (os.environ.get("T2_GUIDED") == "1"	L7	CELLS	UNMEASURED	1			yes
T2_GUIDED_VERBOSE	t2_guided_patch.py:35	_mark	if os.environ.get("T2_GUIDED_VERBOSE"):					1		yes
T2_HANDOFF_ARG_GROUND	t2_handoff_ground.py:35;t2_handoff_ground.py:110;t2_handoff_ground.py:144;t2_handoff_ground.py:146	enabled;selftest	return os.environ.get("T2_HANDOFF_ARG_GROUND") == "1"			DARK				no
T2_HANDOFF_CAP	t2_gate_patch.py:15712	apply_unified_regen	and getattr(self, "_t2_hop_n", 0) < int(os.environ.get("T2_HANDOFF_CAP") or 2)):							no
T2_HANDOFF_PREDICATE	t2_gate_patch.py:15711	apply_unified_regen	if (os.environ.get("T2_HANDOFF_PREDICATE") == "1" and a2 is not None			NEAR_VALID(0 VALID)				no
T2_HAVE_VALUE	t2_gate_patch.py:9026	apply_unified_regen	if (a2 is not None and os.environ.get("T2_HAVE_VALUE") == "1") else []		CELLS	DARK	1			yes
T2_HAVE_VALUE_CAP	t2_gate_patch.py:10203	apply_unified_regen	< int(os.environ.get("T2_HAVE_VALUE_CAP", "3"))):							no
T2_HAVE_VALUE_FORCE	t2_gate_patch.py:13021	apply_unified_regen	if os.environ.get("T2_HAVE_VALUE_FORCE", "1") == "1":	L1	CELLS	UNMEASURED	1			yes
T2_JUDGE_DISABLE	t2_run_gated.py:449	main	for _drop in (os.environ.get("T2_JUDGE_DISABLE") or "").split(","):							no
T2_JUDGE_MAX_TOKENS	t2_run_gated.py:398	main	_t2_judge_mt = int(os.environ.get("T2_JUDGE_MAX_TOKENS", "4096") or 4096)							no
T2_KB_DOCS_DIR	t2_gate_patch.py:4521;t2_gate_patch.py:10045;t2_match_count.py:50;t2_match_count.py:104	_require_doc_deliver;apply_unified_regen;corpus_dir;note	docs_dir = os.environ.get("T2_KB_DOCS_DIR")		HARNESS		$GO_TAU2/data/tau2/domains/banking_knowledge/documents			yes
T2_KB_NOHIT_K	t2_gate_patch.py:15767	apply_unified_regen	_th2 = int(os.environ.get("T2_KB_NOHIT_K", "2") or 2)		PARAMS		2			yes
T2_KB_NOHIT_SURFACE	t2_gate_patch.py:15746	apply_unified_regen	if (os.environ.get("T2_KB_NOHIT_SURFACE") == "1"	L8	CELLS	UNMEASURED	1			yes
T2_KEEP_DENY_BODY	t2_gate_patch.py:4614;t2_gate_patch.py:13129;t2_gate_patch.py:13150	_sibling_wait;apply_unified_regen	if os.environ.get("T2_KEEP_DENY_BODY") != "1" or not name:	L13		NEAR_VALID(0 VALID)	1	1		yes
T2_L4	t2_gate_patch.py:13905	apply_unified_regen	if os.environ.get("T2_L4") == "1" and a2 is not None and getattr(am, "tool_calls", None):			HARMFUL				no
T2_L4_MODE	t2_gate_patch.py:13936	apply_unified_regen	if os.environ.get("T2_L4_MODE", "keep") != "substitute":			NOT_A_LEVER				no
T2_LEDGER	t2_gate_patch.py:8188;t2_gate_patch.py:8192	_install_regen_exec	% (os.environ.get("T2_LEDGER"), "None" if a2 is None else "dict",	L4	CELLS	UNMEASURED	1			yes
T2_LEDGER_VIEW_KEEP	t2_gate_patch.py:8269	_install_regen_exec	int(os.environ.get("T2_LEDGER_VIEW_KEEP", "3"))])							no
T2_LLM_RETRIES	t2_run_gated.py:969;t2_run_gated.py:1085	main	_llm_rt = os.environ.get("T2_LLM_RETRIES")		HARNESS		1			yes
T2_LLM_TIMEOUT	t2_run_gated.py:968;t2_run_gated.py:1084	main	_llm_to = os.environ.get("T2_LLM_TIMEOUT")		HARNESS		2400			yes
T2_MAIN_ANSWERS_ONLY	t2_gate_patch.py:5657	_limit_reduce_text	_answers_only = os.environ.get("T2_MAIN_ANSWERS_ONLY") == "1"			DARK				no
T2_MATCH_COUNT	t2_gate_patch.py:1562	_axis_surface	if (os.environ.get("T2_MATCH_COUNT") == "1"		CELLS	HARMFUL	1			yes
T2_MATERIAL_BYPASS	t2_gate_patch.py:10431	apply_unified_regen	and os.environ.get("T2_MATERIAL_BYPASS") == "1"			DARK				no
T2_MATERIAL_RESERVE	t2_gate_patch.py:11564;t2_gate_patch.py:11575	apply_unified_regen	and (os.environ.get("T2_MATERIAL_RESERVE") != "1"			NEAR_VALID(0 VALID)				no
T2_MAXPROMPT	t2_agent_maxprompt_patch.py:19;t2_run_gated.py:206	apply;main	path = path or os.environ.get("T2_MAXPROMPT")		HARNESS					no
T2_MAXPROMPT_POS	t2_agent_maxprompt_patch.py:24	apply	_POS = set((os.environ.get("T2_MAXPROMPT_POS") or "begin,middle,end").split(","))							no
T2_MAX_MODEL_LEN	t2_gate_patch.py:4050;t2_gate_patch.py:4462;t2_run_gated.py:1011;t2_run_gated.py:1018	_ctx_fits;main;view_thresholds	else (os.environ.get("T2_MAX_MODEL_LEN") or 0) or 0)							no
T2_MT_FLOOR	t2_gate_patch.py:8750	apply_unified_regen	floor=int(os.environ.get("T2_MT_FLOOR", "256")))		HARNESS		256			yes
T2_NLNUM_PROV	t2_gate_patch.py:13980	apply_unified_regen	if (os.environ.get("T2_NLNUM_PROV") == "1" and (a2 or {}).get("calc_tool")			DARK				no
