=== 7B flagged sample 10/ 314
  9 t20 $169.99 |  (similar product, but with higher brightness)    - Price: $169.99    - Options: Color: white, Brigh
  [32Br] 56 t22 $518.31 |  - Filter Type: HEPA    - Features: Night Mode    - Price: $518.31  5. **Item ID: 3676786561**    - 
  [32B] 18 t18 $499.28 | rest, High-Back**:     - Item ID: `8069050545`    - Price: $499.28  2. **Leather, Gray, Fixed Armres
  [32B] 100 t26 $184.13 | : "plastic", "length 34 inch", "design custom"    - Price: $184.13  The price difference for the Lug
  [14B] 95 t22 $60.78 |  been successfully requested. You will receive a refund of $60.78 for this exchange.  To summarize: 
  [7B] 20 t36 $235.13 | $100.00 - $54.04 = $45.96 - Mechanical Keyboard: $300.00 - $235.13 = $64.87 - Running Shoes: $200.00
  [7B] 63 t32 $248.85 | 64): Delivered, $53.53 2. Makeup Kit (#W5061109): Pending, $248.85 3. Office Chair (#W3973757): Proc
  [14B] 42 t17 $45.39 | - Difficulty Level: Beginner    - Pieces: 1500    - Price: $45.39  3. **Item ID: 5645314103**    - T
  [32B] 5 t18 $47.76 | Stainless Steel, 750ml, Red**: Item ID `6777246137`, Price $47.76 5. **Glass, 750ml, Black**: Item I
  [7B] 59 t17 $625.60 | ellation:** No longer needed    - **Total Refund Amount:** $625.60 (immediately credited to your cre
  [14B] 80 t14 $46.85 | 68549`)  The old item costs $54.84, and the new item costs $46.85. The price difference is $54.84 - 
  [14B] 5 t14 $52.79 | ty: 500ml, Material: Stainless Steel, Color: Black, Price: $52.79 - **Item ID: 2439754078** - Capaci
  [32Br] 27 t24 $23.99 | ceive the new ones.  Additionally, the price difference of $23.99 will be refunded to your PayPal ac
  [32B] 96 t20 $302.67 | $298.91  The current Bluetooth Speaker in your order costs $302.67. Therefore, you will receive a sm
  [32Br] 65 t20 $2714.51 | tion: 24MP    - Zoom: 5x    - Storage: CF card    - Price: $2714.51  2. **Item ID: 8363011723**    -
  [32B] 101 t38 $535.97 | edium size with HEPA filter and quiet operation, priced at $535.97. The price difference will be an 
  [14B] 19 t10 $195.11 | e Chair for the Cheapest Versions - Current Pet Bed Price: $195.11 - Current Office Chair Price: $49
  [32Br] 0 t18 $16.63 | on how to return the original items.  The refunds totaling $16.63 will be credited to your Visa card
  [32B] 79 t22 $3.28 | is now "pending (item modified)".  The price difference of $3.28 has been charged to your existing p
  [14B] 20 t20 $155.33 | ack color and rubber sole (`item_id=4107812777`) priced at $155.33. - **Makeup Kit**: The most expen
